ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaC09g12820D		18		35		12		11		0		6
BnaC09g12810D		267		234		419		296		273		388
BnaC09g12800D		75		50		54		43		52		49
BnaC09g12790D		0		0		0		0		0		0
BnaC09g12780D		90		70		46		49		50		60
BnaC09g12770D		84		84		50		40		49		56
BnaC09g12760D		36		48		27		10		26		24
BnaC09g12750D		54		56		92		58		62		88
BnaC09g12740D		8		11		11		11		6		8
BnaC09g12730D		0		1		2		0		0		0
BnaC09g12720D		0		7		4		2		0		4
BnaC09g12710D		52		8		23		34		13		34
BnaC09g12700D		1		10		4		2		0		1
BnaC09g12690D		36		24		26		12		16		31
BnaC09g12680D		145		121		66		64		64		76
BnaC09g12670D		0		0		0		0		0		0
BnaC09g12660D		0		0		0		0		0		0
BnaC09g12650D		0		0		0		0		0		0
BnaC09g12640D		0		0		0		0		0		0
BnaC09g12630D		0		0		0		0		0		0
BnaC09g12620D		0		0		0		0		0		0
BnaC09g12610D		0		0		0		0		0		0
BnaC09g12600D		0		0		0		0		0		0
BnaC09g12590D		0		0		0		0		0		0
BnaC09g12580D		0		0		0		0		0		0
BnaC09g12570D		0		0		0		0		0		0
BnaC09g12560D		11		33		5		6		3		7
BnaC09g12550D		0		0		0		0		0		0
BnaC09g12540D		0		0		0		0		0		0
BnaC09g12530D		2		9		8		6		3		7
BnaC09g12520D		30		46		35		34		18		24
BnaC09g12510D		652		618		867		594		661		810
BnaC09g12500D		77		72		38		54		57		40
BnaC09g12490D		39		46		60		48		37		40
BnaC09g12480D		31		0		5		10		15		10
BnaC09g12470D		0		0		0		0		0		0
BnaC09g12460D		11		4		8		7		6		10
BnaC09g12450D		0		0		0		0		0		0
BnaC09g12440D		0		0		0		0		0		0
BnaC09g12430D		283		210		396		223		323		431
BnaC09g12420D		0		0		0		0		0		0
BnaC09g12410D		0		0		0		0		0		0
BnaC09g12400D		0		0		0		0		0		0
BnaC09g12390D		0		0		0		0		0		0
BnaC09g12380D		0		0		0		0		0		0
BnaC09g12370D		0		0		0		0		0		0
BnaC09g12360D		48		11		61		36		63		68
BnaC09g12350D		494		598		303		255		338		393
BnaC09g12340D		30		29		14		9		7		19
BnaC09g12330D		0		0		0		0		1		1
BnaC09g12320D		9		0		16		9		9		12
BnaC09g12310D		161		259		189		174		149		191
BnaC09g12300D		0		1		3		1		0		0
BnaC09g12290D		2		2		7		2		0		1
BnaC09g12280D		1		3		3		5		1		0
BnaC09g12270D		0		0		0		0		0		0
BnaC09g12260D		26		23		33		15		25		18
BnaC09g12250D		522		2151		713		793		821		619
BnaC09g12240D		25		72		11		10		26		14
BnaC09g12230D		11		3		2		1		0		5
