ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaC09g12820D		25		43		14		18		0		8
BnaC09g12810D		341		295		544		398		374		519
BnaC09g12800D		102		74		66		51		75		71
BnaC09g12790D		0		0		0		0		0		0
BnaC09g12780D		129		99		59		69		63		78
BnaC09g12770D		112		109		65		50		65		69
BnaC09g12760D		42		64		32		15		32		32
BnaC09g12750D		82		77		119		80		86		114
BnaC09g12740D		9		14		14		14		8		8
BnaC09g12730D		0		1		2		0		0		0
BnaC09g12720D		0		8		5		4		0		4
BnaC09g12710D		61		13		31		52		18		40
BnaC09g12700D		1		12		5		2		0		1
BnaC09g12690D		46		32		33		17		17		38
BnaC09g12680D		197		160		87		79		83		100
BnaC09g12670D		0		0		0		0		0		0
BnaC09g12660D		0		0		0		0		0		0
BnaC09g12650D		0		0		0		0		0		0
BnaC09g12640D		0		0		0		0		0		0
BnaC09g12630D		0		0		0		0		0		0
BnaC09g12620D		0		0		0		0		0		0
BnaC09g12610D		0		0		0		0		0		0
BnaC09g12600D		0		0		0		0		0		0
BnaC09g12590D		0		0		0		0		0		0
BnaC09g12580D		0		0		0		0		0		0
BnaC09g12570D		0		1		0		0		0		1
BnaC09g12560D		16		41		6		6		4		11
BnaC09g12550D		0		0		0		0		0		0
BnaC09g12540D		0		0		0		0		0		0
BnaC09g12530D		4		13		11		11		3		10
BnaC09g12520D		46		62		48		43		28		33
BnaC09g12510D		843		815		1169		779		893		1051
BnaC09g12500D		93		109		63		68		78		62
BnaC09g12490D		57		63		78		64		45		55
BnaC09g12480D		39		3		7		16		21		18
BnaC09g12470D		0		0		0		0		0		0
BnaC09g12460D		13		7		9		8		10		17
BnaC09g12450D		0		0		0		0		0		0
BnaC09g12440D		0		0		0		0		0		0
BnaC09g12430D		381		285		534		310		452		576
BnaC09g12420D		0		0		0		0		0		0
BnaC09g12410D		0		0		0		0		0		0
BnaC09g12400D		0		0		0		0		0		0
BnaC09g12390D		0		0		0		0		0		0
BnaC09g12380D		0		0		0		0		0		0
BnaC09g12370D		0		0		0		0		0		0
BnaC09g12360D		57		14		78		51		76		86
BnaC09g12350D		659		800		413		327		456		505
BnaC09g12340D		46		35		19		11		10		22
BnaC09g12330D		0		0		1		0		1		1
BnaC09g12320D		13		0		21		11		13		16
BnaC09g12310D		215		343		238		239		189		251
BnaC09g12300D		0		1		3		2		0		0
BnaC09g12290D		2		3		7		3		0		2
BnaC09g12280D		2		3		4		5		1		1
BnaC09g12270D		0		0		0		0		0		0
BnaC09g12260D		36		32		46		22		31		25
BnaC09g12250D		697		2810		924		1068		1065		832
BnaC09g12240D		29		85		19		14		33		19
BnaC09g12230D		15		3		3		2		0		7
BnaC09g12220D		2		0		0		2		1		1
BnaC09g12210D		0		0		0		0		0		0
BnaC09g12200D		12		25		29		19		39		23
BnaC09g12190D		80		85		61		45		36		45
BnaC09g12180D		83		80		121		92		79		110
BnaC09g12170D		270		218		246		198		200		294
BnaC09g12160D		116		32		13		18		16		27
BnaC09g12150D		0		0		0		0		0		0
BnaC09g12140D		3		58		21		14		8		22
BnaC09g12130D		96		146		231		129		187		278
BnaC09g12120D		224		257		171		126		155		204
BnaC09g12110D		27		50		32		23		13		19
BnaC09g12100D		8		0		7		6		7		6
BnaC09g12090D		62		103		230		150		117		165
BnaC09g12080D		750		1239		346		343		342		514
BnaC09g12070D		0		0		0		0		0		0
BnaC09g12060D		0		0		0		0		0		0
BnaC09g12050D		0		0		0		0		0		0
BnaC09g12040D		150		310		125		120		67		64
BnaC09g12030D		53		17		33		22		35		28
BnaA05g26300D		0		0		0		0		0		1
BnaA05g26310D		0		0		0		0		0		0
BnaA05g26320D		0		0		1		0		1		0
BnaA05g26330D		62		74		79		50		59		95
BnaA05g26340D		0		0		0		0		0		0
BnaA05g26350D		0		0		0		0		0		0
BnaA05g26360D		31		26		4		2		10		11
BnaA05g26370D		571		497		428		324		395		459
BnaA05g26380D		171		418		126		127		182		158
BnaA05g26390D		4		9		3		4		7		4
BnaA05g26400D		19		12		13		5		8		8
BnaA05g26410D		30		17		26		18		20		39
BnaA05g26420D		59		59		30		24		62		67
BnaA05g26430D		291		312		98		120		146		180
BnaA05g26440D		2		4		3		5		0		2
BnaA05g26450D		0		0		0		0		0		0
BnaA05g26460D		0		0		0		0		0		0
BnaA05g26470D		242		91		68		80		180		214
BnaA05g26480D		30		19		5		6		16		8
BnaA05g26490D		80		146		35		22		135		80
BnaA05g26500D		45		3		12		16		14		33
BnaA05g26510D		152		241		251		203		106		129
BnaA05g26520D		94		127		80		60		80		121
BnaA05g26530D		482		7		604		541		182		198
BnaA05g26540D		1		7		2		1		0		0
BnaA05g26550D		64		81		43		53		43		56
BnaA05g26560D		559		120		105		84		207		247
BnaA05g26570D		280		95		135		155		108		155
BnaA05g26580D		0		0		0		0		0		0
BnaA05g26590D		218		294		146		97		104		130
BnaA05g26600D		322		224		253		192		244		295
BnaA05g26610D		4		0		2		2		2		2
