ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaC09g12820D		9		25		9		7		0		3
BnaC09g12810D		179		156		303		201		184		260
BnaC09g12800D		47		35		33		33		35		36
BnaC09g12790D		0		0		0		0		0		0
BnaC09g12780D		56		54		30		31		30		42
BnaC09g12770D		66		51		38		21		35		43
BnaC09g12760D		24		31		18		8		19		18
BnaC09g12750D		37		38		61		39		44		59
BnaC09g12740D		7		6		8		7		4		5
BnaC09g12730D		0		0		1		0		0		0
BnaC09g12720D		0		4		2		2		0		3
BnaC09g12710D		32		5		12		20		9		27
BnaC09g12700D		0		8		3		1		0		0
BnaC09g12690D		24		16		16		6		14		22
BnaC09g12680D		96		84		46		42		41		43
BnaC09g12670D		0		0		0		0		0		0
BnaC09g12660D		0		0		0		0		0		0
BnaC09g12650D		0		0		0		0		0		0
BnaC09g12640D		0		0		0		0		0		0
BnaC09g12630D		0		0		0		0		0		0
BnaC09g12620D		0		0		0		0		0		0
BnaC09g12610D		0		0		0		0		0		0
BnaC09g12600D		0		0		0		0		0		0
BnaC09g12590D		0		0		0		0		0		0
BnaC09g12580D		0		0		0		0		0		0
BnaC09g12570D		0		0		0		0		0		0
BnaC09g12560D		7		20		5		2		1		3
BnaC09g12550D		0		0		0		0		0		0
BnaC09g12540D		0		0		0		0		0		0
BnaC09g12530D		1		7		5		4		3		5
BnaC09g12520D		23		26		25		27		15		16
BnaC09g12510D		432		406		591		394		436		547
BnaC09g12500D		50		44		31		37		42		23
BnaC09g12490D		26		32		45		30		26		26
BnaC09g12480D		17		0		1		7		9		8
BnaC09g12470D		0		0		0		0		0		0
BnaC09g12460D		6		2		6		3		3		8
BnaC09g12450D		0		0		0		0		0		0
BnaC09g12440D		0		0		0		0		0		0
BnaC09g12430D		209		135		270		156		200		282
BnaC09g12420D		0		0		0		0		0		0
BnaC09g12410D		0		0		0		0		0		0
BnaC09g12400D		0		0		0		0		0		0
BnaC09g12390D		0		0		0		0		0		0
BnaC09g12380D		0		0		0		0		0		0
BnaC09g12370D		0		0		0		0		0		0
BnaC09g12360D		35		7		47		29		44		51
BnaC09g12350D		337		384		204		166		216		245
BnaC09g12340D		19		20		12		4		5		12
BnaC09g12330D		0		0		0		0		1		0
BnaC09g12320D		8		0		12		7		7		10
BnaC09g12310D		101		175		121		112		89		120
BnaC09g12300D		0		1		3		0		0		0
BnaC09g12290D		1		1		4		2		0		0
BnaC09g12280D		1		2		3		3		1		0
BnaC09g12270D		0		0		0		0		0		0
BnaC09g12260D		16		17		22		10		17		10
BnaC09g12250D		357		1449		460		523		520		407
BnaC09g12240D		15		53		6		9		18		11
BnaC09g12230D		4		2		1		1		0		3
BnaC09g12220D		1		0		0		2		1		0
BnaC09g12210D		0		0		0		0		0		0
BnaC09g12200D		9		16		13		10		21		14
BnaC09g12190D		47		40		27		25		20		26
BnaC09g12180D		28		43		65		50		41		53
BnaC09g12170D		131		103		121		105		92		137
BnaC09g12160D		68		13		4		9		7		10
BnaC09g12150D		0		0		0		0		0		0
BnaC09g12140D		2		26		10		4		6		12
BnaC09g12130D		53		77		115		63		93		141
BnaC09g12120D		115		123		86		53		78		97
BnaC09g12110D		16		28		24		15		4		12
BnaC09g12100D		2		0		2		2		4		2
BnaC09g12090D		35		57		111		78		58		90
BnaC09g12080D		384		613		171		156		179		258
BnaC09g12070D		0		0		0		0		0		0
BnaC09g12060D		0		0		0		0		0		0
BnaC09g12050D		0		0		0		0		0		0
BnaC09g12040D		69		160		52		54		29		33
BnaC09g12030D		27		8		19		9		18		14
BnaA05g26300D		0		0		0		0		0		1
