ID		2		6		Ae_Gae_2		Ae_Gae_3		All1_Gae_2		All1_Gae_3
BnaC09g12820D		6		15		4		5		0		2
BnaC09g12810D		84		77		156		117		86		144
BnaC09g12800D		25		19		13		20		21		13
BnaC09g12790D		0		0		0		0		0		0
BnaC09g12780D		33		26		13		11		13		29
BnaC09g12770D		33		23		18		11		16		26
BnaC09g12760D		13		20		9		4		10		8
BnaC09g12750D		10		17		22		21		23		34
BnaC09g12740D		3		2		5		4		3		2
BnaC09g12730D		0		0		1		0		0		0
BnaC09g12720D		0		0		2		0		0		2
BnaC09g12710D		12		3		5		14		5		14
BnaC09g12700D		0		4		0		0		0		0
BnaC09g12690D		12		7		8		4		6		13
BnaC09g12680D		52		37		21		24		20		24
BnaC09g12670D		0		0		0		0		0		0
BnaC09g12660D		0		0		0		0		0		0
BnaC09g12650D		0		0		0		0		0		0
BnaC09g12640D		0		0		0		0		0		0
BnaC09g12630D		0		0		0		0		0		0
BnaC09g12620D		0		0		0		0		0		0
BnaC09g12610D		0		0		0		0		0		0
BnaC09g12600D		0		0		0		0		0		0
BnaC09g12590D		0		0		0		0		0		0
BnaC09g12580D		0		0		0		0		0		0
BnaC09g12570D		0		0		0		0		0		0
BnaC09g12560D		5		12		2		2		0		0
BnaC09g12550D		0		0		0		0		0		0
BnaC09g12540D		0		0		0		0		0		0
BnaC09g12530D		1		5		3		2		2		2
BnaC09g12520D		10		14		13		14		7		7
BnaC09g12510D		209		202		298		183		229		267
BnaC09g12500D		26		21		16		16		24		15
BnaC09g12490D		14		14		19		17		15		16
BnaC09g12480D		7		0		1		1		4		4
BnaC09g12470D		0		0		0		0		0		0
BnaC09g12460D		3		0		2		0		2		4
BnaC09g12450D		0		0		0		0		0		0
BnaC09g12440D		0		0		0		0		0		0
BnaC09g12430D		110		76		140		76		107		133
BnaC09g12420D		0		0		0		0		0		0
BnaC09g12410D		0		0		0		0		0		0
BnaC09g12400D		0		0		0		0		0		0
BnaC09g12390D		0		0		0		0		0		0
BnaC09g12380D		0		0		0		0		0		0
BnaC09g12370D		0		0		0		0		0		0
BnaC09g12360D		17		2		23		13		26		29
BnaC09g12350D		176		190		111		84		102		126
BnaC09g12340D		10		6		8		0		1		6
BnaC09g12330D		0		0		0		0		0		0
BnaC09g12320D		5		0		7		3		2		5
BnaC09g12310D		49		95		62		56		47		63
BnaC09g12300D		0		0		2		0		0		0
BnaC09g12290D		0		1		2		0		0		0
BnaC09g12280D		1		0		3		1		0		0
BnaC09g12270D		0		0		0		0		0		0
BnaC09g12260D		7		12		9		8		5		4
BnaC09g12250D		185		726		225		251		270		200
BnaC09g12240D		6		19		2		4		7		3
BnaC09g12230D		1		0		1		1		0		2
BnaC09g12220D		1		0		0		1		1		0
BnaC09g12210D		0		0		0		0		0		0
BnaC09g12200D		5		10		5		7		14		8
BnaC09g12190D		19		15		11		14		12		14
